timestamp,station_id,temperature_2m,shortwave_radiation,windspeed_10m,wind_direction_10m,wind_gusts_10m,relative_humidity_2m,rain,cloud_cover,soil_temperature_7_to_28cm,soil_moisture_7_to_28cm
2024-01-01 00:00:00,plateau_jos,17.0,0.0,9.4,88,14.8,36,0.0,0,22.8,0.28
2024-01-01 01:00:00,plateau_jos,17.7,0.0,8.3,90,11.9,34,0.0,0,22.7,0.28
2024-01-01 02:00:00,plateau_jos,17.9,0.0,8.4,80,11.5,33,0.0,0,22.5,0.28
2024-01-01 03:00:00,plateau_jos,17.8,0.0,8.7,85,10.8,33,0.0,0,22.3,0.28
2024-01-01 04:00:00,plateau_jos,17.0,0.0,9.5,81,11.9,35,0.0,0,22.1,0.28
2024-01-01 05:00:00,plateau_jos,15.3,0.0,11.5,76,14.0,39,0.0,0,21.9,0.28
2024-01-01 06:00:00,plateau_jos,14.1,0.0,12.9,67,16.6,41,0.0,0,21.6,0.28
2024-01-01 07:00:00,plateau_jos,14.0,3.0,11.5,70,16.6,45,0.0,0,21.4,0.28
2024-01-01 08:00:00,plateau_jos,18.8,125.0,9.2,69,15.1,32,0.0,0,21.2,0.28
2024-01-01 09:00:00,plateau_jos,21.2,356.0,11.8,63,24.8,24,0.0,0,21.0,0.28
2024-01-01 10:00:00,plateau_jos,23.0,578.0,13.2,61,29.9,22,0.0,0,21.0,0.28
2024-01-01 11:00:00,plateau_jos,24.6,754.0,13.7,60,31.7,21,0.0,0,21.1,0.28
2024-01-01 12:00:00,plateau_jos,26.0,865.0,13.3,57,32.0,20,0.0,0,21.2,0.28
2024-01-01 13:00:00,plateau_jos,26.9,900.0,11.6,54,31.7,19,0.0,0,21.5,0.28
2024-01-01 14:00:00,plateau_jos,27.3,856.0,10.5,52,29.2,19,0.0,0,21.9,0.28
2024-01-01 15:00:00,plateau_jos,27.5,739.0,9.9,57,27.4,19,0.0,28,22.2,0.28
2024-01-01 16:00:00,plateau_jos,27.2,558.0,9.6,56,25.2,20,0.0,91,22.5,0.28
2024-01-01 17:00:00,plateau_jos,26.2,334.0,10.3,54,23.0,20,0.0,88,22.8,0.28
2024-01-01 18:00:00,plateau_jos,23.5,107.0,7.4,47,21.2,24,0.0,97,23.1,0.28
2024-01-01 19:00:00,plateau_jos,21.3,1.0,7.8,56,13.7,28,0.0,98,23.2,0.28
2024-01-01 20:00:00,plateau_jos,19.3,0.0,9.7,68,13.0,33,0.0,99,23.2,0.28
2024-01-01 21:00:00,plateau_jos,18.7,0.0,10.5,74,14.0,35,0.0,96,23.2,0.28
2024-01-01 22:00:00,plateau_jos,18.8,0.0,10.0,52,13.7,33,0.0,100,23.1,0.28
2024-01-01 23:00:00,plateau_jos,16.7,0.0,11.4,66,15.1,37,0.0,100,23.0,0.28
2024-01-02 00:00:00,plateau_jos,16.1,0.0,10.9,73,14.8,39,0.0,100,22.9,0.28
2024-01-02 01:00:00,plateau_jos,16.8,0.0,9.4,83,14.0,37,0.0,100,22.7,0.28
2024-01-02 02:00:00,plateau_jos,17.1,0.0,8.6,92,11.9,35,0.0,98,22.5,0.28
2024-01-02 03:00:00,plateau_jos,16.2,0.0,9.8,84,12.2,37,0.0,100,22.3,0.28
2024-01-02 04:00:00,plateau_jos,15.9,0.0,10.2,82,12.2,37,0.0,100,22.0,0.28
2024-01-02 05:00:00,plateau_jos,14.6,0.0,11.6,74,14.4,39,0.0,100,21.8,0.28
2024-01-02 06:00:00,plateau_jos,15.1,0.0,9.8,82,14.4,36,0.0,98,21.6,0.28
2024-01-02 07:00:00,plateau_jos,15.2,3.0,8.4,97,12.2,38,0.0,98,21.3,0.28
2024-01-02 08:00:00,plateau_jos,18.5,118.0,6.2,97,10.4,29,0.0,96,21.1,0.28
2024-01-02 09:00:00,plateau_jos,21.8,342.0,6.8,58,16.6,22,0.0,98,21.0,0.28
2024-01-02 10:00:00,plateau_jos,24.0,562.0,10.0,52,24.5,20,0.0,99,21.0,0.28
2024-01-02 11:00:00,plateau_jos,25.7,737.0,10.2,51,26.3,19,0.0,100,21.0,0.28
2024-01-02 12:00:00,plateau_jos,27.0,848.0,9.9,46,26.6,19,0.0,100,21.2,0.28
2024-01-02 13:00:00,plateau_jos,28.1,888.0,9.4,40,26.3,19,0.0,100,21.5,0.28
2024-01-02 14:00:00,plateau_jos,28.3,850.0,10.8,30,27.7,19,0.0,90,21.8,0.28
2024-01-02 15:00:00,plateau_jos,28.3,736.0,11.8,23,28.4,19,0.0,92,22.2,0.28
2024-01-02 16:00:00,plateau_jos,27.7,557.0,11.3,22,28.4,19,0.0,78,22.6,0.28
2024-01-02 17:00:00,plateau_jos,26.6,334.0,11.8,27,26.3,20,0.0,77,22.9,0.28
2024-01-02 18:00:00,plateau_jos,24.1,108.0,9.4,40,24.5,24,0.0,94,23.1,0.28
2024-01-02 19:00:00,plateau_jos,22.1,2.0,9.7,48,17.6,26,0.0,96,23.3,0.28
2024-01-02 20:00:00,plateau_jos,20.7,0.0,8.2,49,17.3,28,0.0,94,23.3,0.28
2024-01-02 21:00:00,plateau_jos,18.9,0.0,8.6,57,14.0,32,0.0,8,23.3,0.28
2024-01-02 22:00:00,plateau_jos,17.9,0.0,8.9,58,13.3,34,0.0,8,23.3,0.28
2024-01-02 23:00:00,plateau_jos,16.6,0.0,10.4,88,13.3,38,0.0,6,23.2,0.28
2024-01-03 00:00:00,plateau_jos,17.0,0.0,8.8,99,13.3,36,0.0,0,23.0,0.28
2024-01-03 01:00:00,plateau_jos,17.2,0.0,6.8,115,11.2,35,0.0,0,22.8,0.28
2024-01-03 02:00:00,plateau_jos,18.0,0.0,6.9,99,10.4,31,0.0,26,22.7,0.28
2024-01-03 03:00:00,plateau_jos,16.0,0.0,7.9,114,9.7,36,0.0,0,22.4,0.28
2024-01-03 04:00:00,plateau_jos,15.3,0.0,8.0,126,9.7,38,0.0,12,22.2,0.28
2024-01-03 05:00:00,plateau_jos,16.9,0.0,6.7,126,9.7,33,0.0,73,22.0,0.28
2024-01-03 06:00:00,plateau_jos,16.3,0.0,5.6,140,8.3,34,0.0,99,21.7,0.28
2024-01-03 07:00:00,plateau_jos,14.8,3.0,5.8,158,7.6,42,0.0,98,21.5,0.28
